dim_campaign_key,campaign_id,campaign_name,campaign_message_type,campaign_start_date,campaign_end_date,campaign_target_count,message_content,campaign_source,campaign_window_id,campaign_target_count_delivered,campaign_window_name,segment_code,segment_desc,is_control
4199,100001006,21 20170403-M3-4AMH-FAN-Teens + Millennials -WD-NPD Almond 10%,ENGAGE - SMS,00:00.0,00:00.0,70,"Exclusive for our Premium Member! NEW Body Care ALMOND MILK & HONEY diformulasi khusus utk kulit sensitif & kering. DISC 10% for FAN, 30Mar-3May17. T&C Apply.",5,1000000092,70,AMH 2nd Window SMS - MON - 03042017,101277,20170403-M3-4AMH-FAN-Teens + Millennials -WD-NPD Almond 10%,FALSE
4200,100001007,22 20170403-M4-4AMH-LYB-Teens + Millennials -WD-Bundle 1 Almond,ENGAGE - SMS,00:00.0,00:00.0,4786,"NEW Almond Milk & Honey for sensitive, dry skin. SPECIAL BUNDLE BUY: Shower Cream 250ml+Body Scrub 250ml+Body Butter 200ml HANYA 529k, 30Mar-3May17. T&C Apply.",5,1000000092,4786,AMH 2nd Window SMS - MON - 03042017,101280,20170403-M4-4AMH-LYB-Teens + Millennials -WD-Bundle 1 Almond,FALSE
4201,100001008,23 20170403-M5-4AMH-LYB-Teens + Millennials-WD-Bundle 2 Almond,ENGAGE - SMS,00:00.0,00:00.0,40,"NEW Almond Milk & Honey for sensitive skin. Special Bundle Buy: Shower Cream 250ml+Body Lotion 200ml+Bath Lily, HANYA 250k (Reg. 317k) 30Mar-3May17. T&C Apply.",5,1000000092,40,AMH 2nd Window SMS - MON - 03042017,101282,20170403-M5-4AMH-LYB-Teens + Millennials-WD-Bundle 2 Almond,FALSE
4202,100001009,24 20170403-M10-4AMH-FAN + LYB- GenX + Senior + Other-WD-Make Up 20%,ENGAGE - SMS,00:00.0,00:00.0,1055,"A PERFECT GIFT FOR SOMEONE SPECIAL! Berikan All In One Face Base sebagai hadiah istimewa. Get DISC 20% with any purchase of Make Up, 30Mar-3 May17. T&C Apply.",5,1000000092,1055,AMH 2nd Window SMS - MON - 03042017,101266,20170403-M10-4AMH-FAN + LYB- GenX + Senior + Other-WD-Make Up 20%,FALSE
4203,100001010,25 20170403-M9-4AMH-FAN + LYB- GenX + Senior + Other-WD-Make Up 20%,ENGAGE - SMS,00:00.0,00:00.0,11484,"A FOUNDATION & POWDER ALL in ONE compact! ALL IN ONE FACE BASE mengcover dgn hasil matte finish. DISC 20% with any purchase of Make Up, 30Mar-3May17. T&C Apply.",5,1000000092,11484,AMH 2nd Window SMS - MON - 03042017,101301,20170403-M9-4AMH-FAN + LYB- GenX + Senior + Other-WD-Make Up 20%,FALSE
4204,100001011,26 20170403-M8-4AMH-FAN- GenX + Senior + Other-WD-NPD Almond 10%,ENGAGE - SMS,00:00.0,00:00.0,144,"Exclusive for our Premium Member! NEW Body Care ALMOND MILK & HONEY diformulasi khusus utk kulit sensitif & kering. DISC 10% for FAN, 30Mar-3May17. T&C Apply.",5,1000000092,144,AMH 2nd Window SMS - MON - 03042017,101288,20170403-M8-4AMH-FAN- GenX + Senior + Other-WD-NPD Almond 10%,FALSE
4205,100001012,27 20170403-M7-4AMH-LYB-GenX + Senior + Other-WD-Bundle 1 Almond,ENGAGE - SMS,00:00.0,00:00.0,3170,"NEW Almond Milk & Honey for sensitive, dry skin. SPECIAL BUNDLE BUY: Shower Cream 250ml+Body Scrub 250ml+Body Butter 200ml HANYA 529k, 30Mar-3May17. T&C Apply.",5,1000000092,3170,AMH 2nd Window SMS - MON - 03042017,101302,20170403-M7-4AMH-LYB-GenX + Senior + Other-WD-Bundle 1 Almond,FALSE
4206,100001013,28 20170403-M6-4AMH-LYB-GenX + Senior + Other-WD-Bundle 2 Almond,ENGAGE - SMS,00:00.0,00:00.0,10301,"NEW Almond Milk & Honey for sensitive skin. Special Bundle Buy: Shower Cream 250ml+Body Lotion 200ml+Bath Lily, HANYA 250k (Reg. 317k) 30Mar-3May17. T&C Apply.",5,1000000092,10301,AMH 2nd Window SMS - MON - 03042017,101292,20170403-M6-4AMH-LYB-GenX + Senior + Other-WD-Bundle 2 Almond,FALSE
4207,100001019,AMH 1st Window Push Notification - TUE - 04032017,ENGAGE - MOBILE APP NOTIFICATION,00:00.0,00:00.0,172994,Best Friend For Your Sensitive & Dry Skin,5,1000000093,60745,AMH 1st Window Push Notification - TUE - 04042017,101533,20170405-1-4AMH-ALL-Push Notification #1,FALSE
4208,100001020,1 20170404-1-4AMH-LYB NEW-ALL AGE GROUP-WE/WD-Welcome Voucher,ENGAGE - SMS,00:00.0,00:00.0,3364,DON'T BE LATE! Dptkan Skin Care/Make Up/Body Care kesukaanmu dgn menggunakan Welcome Voucher. Berlaku selama 2 bln setelah join Love Your Body Club. T&C Apply.,5,1000000094,3364,AMH 1st Reminder Welcome Voucher SMS - TUE - 04042017,101606,20170404-1-4AMH-LYB NEW-ALL AGE GROUP-WE/WD-Welcome Voucher,FALSE
4209,100001022,1 Target Mall Event Senayan City (innisfree) - 20170406 (Visit 2x),ENGAGE - SMS,00:00.0,00:00.0,163600,VISIT OUR STORE at SENAYAN CITY 7-9 APR 17! ANY 2 DISC 20% (excl skincare)+UP TO 30% Tea Tree. RUSH HOURS ONLY 6-10pm get BONUS 5points min trx 250K. T&C Apply,5,1000000095,163600,AMH 1st Additional SMS SENCY - THU - 06042017,101648,Target Mall Event Senayan City (innisfree) - 20170406 (Visit 2x Jakarta Tangerang Bekasi Store),FALSE
4210,100001023,1 20170406-Y1-4AMH-FAN-Teens + Millennials-WE-AIO 20% (AIO user),ENGAGE - SMS,00:00.0,00:00.0,1266,BUY ANY Make Up and get DISC 20% for All In One Face Base! Dapatkan hasil akhir yg matte maupun full coverage pd tampilan Make Up Anda. s/d 3May17. T&C Apply.,5,1000000096,1266,AMH 3rd Window SMS - THU - 06042017,101318,20170406-Y1-4AMH-FAN-Teens + Millennials-WE-AIO 20% (AIO user),FALSE
4211,100001024,2 20170406-Y2-4AMH-FAN-Teens + Millennials-WE-AIO 20% (AIO no-user),ENGAGE - SMS,00:00.0,00:00.0,1244,BUY ANY Make Up and get DISC 20% for All In One Face Base! Dapatkan hasil akhir yg matte maupun full coverage pd tampilan Make Up Anda. s/d 3May17. T&C Apply.,5,1000000096,1244,AMH 3rd Window SMS - THU - 06042017,101320,20170406-Y2-4AMH-FAN-Teens + Millennials-WE-AIO 20% (AIO no-user),FALSE
4212,100001025,3 20170406-Y3-4AMH-FAN-Teens + Millennials-WE-All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,929,"NEW PRICE for ALL DEODORANT! Awali hari Anda dgn deodorant kami yg memberikan keharuman pada tubuh. Harga mulai 99k, dptkan berbagai aroma segar yg tahan lama.",5,1000000096,929,AMH 3rd Window SMS - THU - 06042017,101323,20170406-Y3-4AMH-FAN-Teens + Millennials-WE-All Deodorant,FALSE
4213,100001026,4 20170406-Y4-4AMH-FAN-GenX + Senior + Other-WE-Shampoo + Accessories,ENGAGE - SMS,00:00.0,00:00.0,5010,"GET SHINY & SMOOTH HAIR! Miliki rambut sehat dengan rangkaian Rainforest Shampoo + Accessories. Kini dengan harga baru yg lebih hemat, mulai dr 49k. T&C Apply.",5,1000000096,5010,AMH 3rd Window SMS - THU - 06042017,101328,20170406-Y4-4AMH-FAN-GenX + Senior + Other-WE-Shampoo + Accessories,FALSE
4214,100001027,5 20170406-Y5-4AMH-FAN-GenX + Senior + Other-WE-All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,2021,"NEW PRICE for ALL DEODORANT! Awali hari Anda dgn berbagai aroma segar deodorant kami yg memberikan keharuman lebih lama. Harga lebih hemat, mulai dari 99k!",5,1000000096,2021,AMH 3rd Window SMS - THU - 06042017,101332,20170406-Y5-4AMH-FAN-GenX + Senior + Other-WE-All Deodorant,FALSE
4215,100001028,6 20170406-Y6-4AMH-CLUB-Teens + Millennials-WE-AIO 20% (AIO user),ENGAGE - SMS,00:00.0,00:00.0,4681,BUY ANY Make Up and get DISC 20% for All In One Face Base! Dapatkan hasil akhir yg matte maupun full coverage pd tampilan Make Up Anda. s/d 3May17. T&C Apply.,5,1000000096,4681,AMH 3rd Window SMS - THU - 06042017,101336,20170406-Y6-4AMH-CLUB-Teens + Millennials-WE-AIO 20% (AIO user),FALSE
4216,100001029,7 20170406-Y7-4AMH-CLUB-Teens + Millennials-WE-AIO 20% (AIO no-user),ENGAGE - SMS,00:00.0,00:00.0,9211,BUY ANY Make Up and get DISC 20% for All In One Face Base! Dapatkan hasil akhir yg matte maupun full coverage pd tampilan Make Up Anda. s/d 3May17. T&C Apply.,5,1000000096,9211,AMH 3rd Window SMS - THU - 06042017,101338,20170406-Y7-4AMH-CLUB-Teens + Millennials-WE-AIO 20% (AIO no-user),FALSE
4217,100001030,8 20170406-Y8-4AMH-CLUB-Teens + Millennials-WE-All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,41240,NEW PRICE for ALL DEODORANT! Awali hari Anda dgn deodorant kami yg mampu memberi keharuman pada tubuh. Mulai dari 99k dgn berbagai aroma segar yg tahan lama.,5,1000000096,41185,AMH 3rd Window SMS - THU - 06042017,101340,20170406-Y8-4AMH-CLUB-Teens + Millennials-WE-All Deodorant,FALSE
4218,100001031,9 20170406-Y9-4AMH-CLUB-GenX + Senior + Other-WE-Shampoo + Accessories,ENGAGE - SMS,00:00.0,00:00.0,18995,"GET SHINY & SMOOTH HAIR! Miliki rambut sehat dengan rangkaian Rainforest Shampoo + accessories. Kini dengan harga baru yg lebih hemat, mulai dr 49k. T&C Apply.",5,1000000096,18991,AMH 3rd Window SMS - THU - 06042017,101341,20170406-Y9-4AMH-CLUB-GenX + Senior + Other-WE-Shampoo + Accessories,FALSE
4219,100001032,10 20170406-Y10-4AMH-CLUB-GenX + Senior + Other-WE-All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,36947,"NEW PRICE for ALL DEODORANT! Awali hari Anda dgn berbagai aroma segar deodorant kami yg memberikan keharuman bagi tubuh. Harga lebih hemat, mulai dari 99k!",5,1000000096,36944,AMH 3rd Window SMS - THU - 06042017,101342,20170406-Y10-4AMH-CLUB-GenX + Senior + Other-WE-All Deodorant,FALSE
4220,100001033,11 20170406-R1-4AMH-FAN-GenX + Senior + Other-WE-Bundle 1 AMH,ENGAGE - SMS,00:00.0,00:00.0,708,"EMBRACE SENSITIVE SKIN! NEW Almond Milk & Honey Special Bundle (Shower Cream 250ml + Body Scrub 250ml + Body Butter 200ml) HANYA 529k, s/d 3May17. T&C Apply.",5,1000000096,708,AMH 3rd Window SMS - THU - 06042017,101343,20170406-R1-4AMH-FAN-GenX + Senior + Other-WE-Bundle 1 AMH,FALSE
4221,100001034,12 20170406-R2-4AMH-CLUB-GenX + Senior + Other-WE-Bundle 2 AMH,ENGAGE - SMS,00:00.0,00:00.0,8081,"SPECIAL BUNDLE BUY for NEW Almond Milk & Honey (Shower Cream+Body Lotion+Bath Lily) ONLY 250k, s/d 3May17. 100% Vegetarian, cocok utk kulit sensitif. T&C Apply.",5,1000000096,8081,AMH 3rd Window SMS - THU - 06042017,101345,20170406-R2-4AMH-CLUB-GenX + Senior + Other-WE-Bundle 2 AMH,FALSE
4222,100001035,13 20170406-R3-4AMH-FAN-Teens + Millennials-WE-Bundle 1 AMH,ENGAGE - SMS,00:00.0,00:00.0,1170,"EMBRACE SENSITIVE SKIN! NEW Almond Milk & Honey Special Bundle (Shower Cream 250ml + Body Scrub 250ml + Body Butter 200ml) HANYA 529k, s/d 3May17. T&C Apply.",5,1000000096,1170,AMH 3rd Window SMS - THU - 06042017,101346,20170406-R3-4AMH-FAN-Teens + Millennials-WE-Bundle 1 AMH,FALSE
4223,100001036,14 20170406-R4-4AMH-CLUB-Teens + Millennials-WE-Bundle 2 AMH,ENGAGE - SMS,00:00.0,00:00.0,18029,"SPECIAL BUNDLE BUY for NEW Almond Milk & Honey (Shower Cream+Body Lotion+Bath Lily) ONLY 250k, s/d 3May17. 100% Vegetarian, cocok utk kulit sensitif. T&C Apply.",5,1000000096,18029,AMH 3rd Window SMS - THU - 06042017,101348,20170406-R4-4AMH-CLUB-Teens + Millennials-WE-Bundle 2 AMH,FALSE
4224,100001037,15 20170406-R5-4AMH-FAN-GenX + Senior + Other-WE-Bundle 1 AMH,ENGAGE - SMS,00:00.0,00:00.0,440,"SPECIAL BUNDLE BUY for NEW Almond Milk & Honey (Shower Cream+Body Lotion+Bath Lily) ONLY 250k, s/d 3May17. 100% Vegetarian, cocok utk kulit sensitif. T&C Apply.",5,1000000096,440,AMH 3rd Window SMS - THU - 06042017,101349,20170406-R5-4AMH-FAN-GenX + Senior + Other-WE-Bundle 1 AMH,FALSE
4225,100001038,16 20170406-R6-4AMH-CLUB-GenX + Senior + Other-WE-Bundle 2 AMH,ENGAGE - SMS,00:00.0,00:00.0,5591,"SPECIAL BUNDLE BUY for NEW Almond Milk & Honey (Shower Cream+Body Lotion+Bath Lily) ONLY 250k, s/d 3May17. 100% Vegetarian, cocok utk kulit sensitif. T&C Apply.",5,1000000096,5591,AMH 3rd Window SMS - THU - 06042017,101350,20170406-R6-4AMH-CLUB-GenX + Senior + Other-WE-Bundle 2 AMH,FALSE
4226,100001039,17 20170406-R7-4AMH-FAN-Teens + Millennials-WE-Bundle 1 AMH,ENGAGE - SMS,00:00.0,00:00.0,332,"SPECIAL BUNDLE BUY for NEW Almond Milk & Honey (Shower Cream+Body Lotion+Bath Lily) ONLY 250k, s/d 3May17. 100% Vegetarian, cocok utk kulit sensitif. T&C Apply.",5,1000000096,332,AMH 3rd Window SMS - THU - 06042017,101351,20170406-R7-4AMH-FAN-Teens + Millennials-WE-Bundle 1 AMH,FALSE
4227,100001040,18 20170406-R8-4AMH-CLUB-Teens + Millennials-WE-Bundle 2 AMH,ENGAGE - SMS,00:00.0,00:00.0,6918,"SPECIAL BUNDLE BUY for NEW Almond Milk & Honey (Shower Cream+Body Lotion+Bath Lily) ONLY 250k, s/d 3May17. 100% Vegetarian, cocok utk kulit sensitif. T&C Apply.",5,1000000096,6918,AMH 3rd Window SMS - THU - 06042017,101352,20170406-R8-4AMH-CLUB-Teens + Millennials-WE-Bundle 2 AMH,FALSE
4228,100001041,19 20170406-R9-4AMH-FAN-GenX + Senior + Other-WE-20% AIO Face Base,ENGAGE - SMS,00:00.0,00:00.0,10671,BUY ANY Make Up and get DISC 20% for All In One Face Base! Dapatkan hasil akhir yg matte maupun full coverage pd tampilan Make Up Anda. s/d 3May17. T&C Apply.,5,1000000096,10669,AMH 3rd Window SMS - THU - 06042017,101354,20170406-R9-4AMH-FAN-GenX + Senior + Other-WE-20% AIO Face Base,FALSE
4229,100001042,20 20170406-R10-4AMH-FAN-Teens + Millennials-WE-20% AIO Face Base,ENGAGE - SMS,00:00.0,00:00.0,6939,BUY ANY Make Up and get DISC 20% for All In One Face Base! Dapatkan hasil akhir yg matte maupun full coverage pd tampilan Make Up Anda. s/d 3May17. T&C Apply.,5,1000000096,6937,AMH 3rd Window SMS - THU - 06042017,101355,20170406-R10-4AMH-FAN-Teens + Millennials-WE-20% AIO Face Base,FALSE
4230,100001043,21 20170406-R11-4AMH-CLUB-GenX + Senior + Other-WE-20% AIO Face Base,ENGAGE - SMS,00:00.0,00:00.0,12071,BUY ANY Make Up and get DISC 20% for All In One Face Base! Dapatkan hasil akhir yg matte maupun full coverage pd tampilan Make Up Anda. s/d 3May17. T&C Apply.,5,1000000096,12070,AMH 3rd Window SMS - THU - 06042017,101356,20170406-R11-4AMH-CLUB-GenX + Senior + Other-WE-20% AIO Face Base,FALSE
4231,100001044,22 20170406-R12-4AMH-CLUB-Teens + Millennials-WE-20% AIO Face Base,ENGAGE - SMS,00:00.0,00:00.0,11018,BUY ANY Make Up and get DISC 20% for All In One Face Base! Dapatkan hasil akhir yg matte maupun full coverage pd tampilan Make Up Anda. s/d 3May17. T&C Apply.,5,1000000096,11018,AMH 3rd Window SMS - THU - 06042017,101357,20170406-R12-4AMH-CLUB-Teens + Millennials-WE-20% AIO Face Base,FALSE
4232,100001045,23 20170406-R13-4AMH-CLUB-GenX + Senior + Other-WE-NP All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,10707,NEW PRICE for ALL DEODORANT! Awali hari Anda dgn deodorant kami yg mampu memberi keharuman pada tubuh. Mulai dari 99k dgn berbagai aroma segar yg tahan lama.,5,1000000096,10707,AMH 3rd Window SMS - THU - 06042017,101360,20170406-R13-4AMH-CLUB-GenX + Senior + Other-WE-NP All Deodorant,FALSE
4233,100001046,24 20170406-R14-4AMH-CLUB-Teens + Millennials-WE-NP All Deodorant,ENGAGE - SMS,00:00.0,00:00.0,13757,NEW PRICE for ALL DEODORANT! Dapatkan deodorant kesayanganmu mulai dari 99k. Tersedia dalam berbagai aroma segar yang dapat mengurangi bau badan tak sedap.,5,1000000096,13754,AMH 3rd Window SMS - THU - 06042017,101361,20170406-R14-4AMH-CLUB-Teens + Millennials-WE-NP All Deodorant,FALSE
